Mode,Prompt,Target,Baseline rank,strict: final rank,strict: reached #1,strict: features at best,strict: collateral KL,off: final rank,off: reached #1,off: features at best,off: collateral KL,tol5_after: final rank,tol5_after: reached #1,tol5_after: features at best,tol5_after: collateral KL,graded5_after: final rank,graded5_after: reached #1,graded5_after: features at best,graded5_after: collateral KL,graded5_inter: final rank,graded5_inter: reached #1,graded5_inter: features at best,graded5_inter: collateral KL
all,Francesco Castellacci was born in,Rome,2,1,True,2,0.0,1,True,2,0.0,1,True,2,0.0,1,True,2,0.0,1,True,2,0.0
all,The Nile flows through,Egypt,3,2,False,201,0.003993833852291573,2,False,203,0.02211455685319379,2,False,203,0.00399793097312795,2,False,203,0.00399793097312795,2,False,203,0.00399793097312795
all,Ferrari is a car company from,Italy,3,1,True,2,0.0,1,True,2,0.0,1,True,2,0.0,1,True,2,0.0,1,True,2,0.0
all,Diwali is celebrated in,India,3,1,True,2,4.679928679252043e-07,1,True,4,8.320733104483225e-06,1,True,2,4.679928679252043e-07,1,True,2,4.679928679252043e-07,1,True,2,4.679928679252043e-07
all,Coco Chanel passed away in,Paris,2,1,True,2,0.0,1,True,2,0.0,1,True,2,0.0,1,True,2,0.0,1,True,2,0.0
all,Seiyu Group's headquarters are in,Tokyo,2,1,True,2,0.0,1,True,2,0.0,1,True,2,0.0,1,True,2,0.0,1,True,2,0.0
all,The location of Galatasaray University is in the heart of,Istanbul,2,1,True,20,2.5604868369555334e-05,1,True,22,0.0042633358767488975,1,True,20,2.5604868369555334e-05,1,True,20,2.5604868369555334e-05,1,True,20,2.5604868369555334e-05
all,My mother told me that,she,2,1,True,2,0.00035422899964032695,1,True,2,0.00035101483517792077,1,True,2,0.00035422899964032695,1,True,2,0.00035422899964032695,1,True,2,0.00035422899964032695
all,The official language of Brazil is,Portuguese,2,1,True,2,0.0,1,True,2,1.0807707440108061e-08,1,True,2,0.0,1,True,2,0.0,1,True,2,0.0
all,Barack Obama was born in,Hawaii,3,1,True,2,0.0,1,True,2,0.0,1,True,2,0.0,1,True,2,0.0,1,True,2,0.0
all,The Super Bowl is a championship in,football,5,1,True,108,0.004184649855596944,1,True,138,0.005586252766079269,1,True,108,0.004184649855596944,1,True,108,0.004184649855596944,1,True,108,0.004184649855596944
all,Cows give us,milk,9,2,False,70,0.0039889174804557115,2,False,80,0.004214111948385835,2,False,70,0.0039889174804557115,2,False,70,0.0039889174804557115,2,False,72,0.0039889174804557115
all,Kimchi is a traditional food from,Korea,4,1,True,44,0.0011276769575488288,1,True,126,0.004318662482546642,1,True,44,0.0011276769575488288,1,True,44,0.0011276769575488288,1,True,44,0.0011276769575488288
all,The headquarter of Zillow is in downtown,Seattle,8,1,True,54,0.0014728194000781514,1,True,78,0.006104675534879788,1,True,54,0.0014728194000781514,1,True,54,0.0014728194000781514,1,True,54,0.0014728194000781514
all,Eavan Boland was born in,Dublin,4,1,True,6,2.914125070674345e-06,1,True,10,2.807515884342138e-05,1,True,6,2.914125070674345e-06,1,True,6,2.914125070674345e-06,1,True,6,2.914125070674345e-06
all,The color of the sky is,blue,4,1,True,12,0.0016833910834975542,1,True,12,0.0014274829685746227,1,True,12,0.0016833910834975542,1,True,12,0.0016833910834975542,1,True,12,0.0016833910834975542
all,The largest animal in the ocean is the,whale,4,1,True,40,0.001509569135669153,1,True,34,0.004460611697868444,1,True,40,0.001509569135669153,1,True,40,0.001509569135669153,1,True,36,0.0015320233927923256
all,Bratwurst is a traditional food from,Germany,5,1,True,130,0.0049155683373101056,2,False,344,0.004974611921352334,1,True,244,0.0045942728378577154,1,True,136,0.004921397991711274,1,True,136,0.004921397991711274
all,The official language of Iran is,Persian,6,1,True,86,0.003209449670976028,4,False,268,0.00737415042531211,1,True,86,0.003209449670976028,1,True,86,0.003209449670976028,1,True,88,0.003209449670976028
all,A baby dog is called a,puppy,5,2,False,191,0.009673011989798396,3,False,182,0.00917754638940096,2,False,191,0.009673011989798396,3,False,192,0.009673011989798396,3,False,192,0.009673011989798396
all,The Amazon rainforest is mostly in,Brazil,27,2,False,288,0.03780002159182914,3,False,231,0.017124854540452362,2,False,288,0.03780002159182914,2,False,288,0.03780002159182914,2,False,288,0.03780002159182914
all,The currency of Brazil is the,real,14,1,True,36,0.004461111652199179,14,False,0,,1,True,36,0.004461111652199179,1,True,36,0.004461111652199179,1,True,32,0.00460085277154576
all,"Knud, Hereditary Prince of Denmark passed away in",Copenhagen,45,1,True,264,0.006364754808600992,10,False,452,0.002348279790021479,2,False,214,0.005874849605606869,1,True,368,0.005063344276277348,1,True,368,0.005063344276277348
all,The programming language created by Guido van Rossum is,Python,44,1,True,126,0.002928825980052352,1,True,220,0.005908111960161477,1,True,129,0.0029296576511114837,1,True,130,0.0028851377835962923,1,True,130,0.0028851377835962923
all,IKEA is a company from,Sweden,16,3,False,257,0.004263717884896323,7,False,257,0.003689833905082196,3,False,257,0.004263717884896323,3,False,257,0.004263717884896323,3,False,257,0.004263717884896323
all,Machu Picchu is in,Peru,24,2,False,268,0.005255490215495229,4,False,270,0.009574996237643064,2,False,270,0.005144028284121305,2,False,270,0.005144028284121305,2,False,270,0.005144028284121305
all,The opposite of day is,night,11,1,True,10,0.0003804335239692591,1,True,12,0.0018304646087926812,1,True,10,0.0003804335239692591,1,True,10,0.0003804335239692591,1,True,10,0.0007484227695385926
all,The capital of Portugal is,Lisbon,40,1,True,26,0.0022858836127852555,1,True,96,0.005073958835419034,1,True,26,0.0022858836127852555,1,True,26,0.0022858836127852555,1,True,26,0.0022858836127852555
all,Boeing is headquartered in,Chicago,20,7,False,226,0.001430622604675591,6,False,214,0.006300081248627976,6,False,110,0.0009532836265861988,6,False,227,0.0013372272544074804,6,False,227,0.0013372272544074804
all,The Sydney Opera House is in,Australia,35,6,False,231,0.022610840763081796,6,False,234,0.016330028523225338,6,False,231,0.022610840763081796,6,False,231,0.022610840763081796,6,False,231,0.022610840763081796
all,The capital city of Poland is,Warsaw,200,1,True,119,0.005440731736598536,9,False,91,0.006896803743438795,1,True,119,0.005440731736598536,1,True,118,0.005365117979818024,1,True,120,0.005410700678476132
all,Greece's capital city is,Athens,74,1,True,22,0.001103211677764193,1,True,100,0.008562828353024087,1,True,22,0.001103211677764193,1,True,22,0.001103211677764193,1,True,22,0.001103211677764193
all,The Alps are in,Europe,55,3,False,199,0.011995119106722995,11,False,116,0.0212462350493297,3,False,199,0.011995119106722995,3,False,199,0.011995119106722995,3,False,199,0.011995119106722995
all,She opened the door and saw a,cat,152,34,False,243,0.02932214244501665,66,False,112,0.019948724249843508,34,False,233,0.030409726989455522,36,False,245,0.03204996595159173,36,False,245,0.03204996595159173
all,The Sahara desert is in,Africa,121,3,False,209,0.019055305619258434,7,False,115,0.00839926147600636,3,False,207,0.019057760492432862,3,False,207,0.012470432883128523,3,False,209,0.012482262449339032
all,The capital city of Ukraine is,Kiev,160,1,True,118,0.005439053964801132,19,False,199,0.006361833622213453,1,True,136,0.005936938160448335,1,True,118,0.0053983489517122505,1,True,119,0.003705570338934194
all,The capital of India is,Delhi,95,2,False,168,0.006934054015437141,4,False,100,0.006773897079983726,2,False,168,0.006934054015437141,2,False,168,0.006934054015437141,2,False,168,0.006934054015437141
all,The Acropolis is in,Athens,133,8,False,205,0.008859072858467699,19,False,192,0.033926724130287765,8,False,205,0.008857383765280247,11,False,205,0.008859072858467699,11,False,205,0.008859072858467699
all,The capital of Denmark is,Copenhagen,106,1,True,120,0.005989523307653144,11,False,104,0.006235177925555035,2,False,184,0.007102324985316955,1,True,119,0.005990725680021569,1,True,120,0.005990725680021569
all,The capital of Cuba is,Havana,165,3,False,171,0.004365771895390935,9,False,105,0.005863935779780149,4,False,171,0.006603810377418995,4,False,172,0.004593057633610442,4,False,172,0.004593057633610442
all,Lebanon's capital city is,Beirut,690,1,True,126,0.0022810282214777546,11,False,108,0.008737663913052529,1,True,126,0.0022810282214777546,1,True,142,0.002276327527943067,1,True,142,0.002276327527943067
all,The chemical symbol for gold is,Au,699,95,False,290,0.004728750628419221,238,False,223,0.0051665041100932285,93,False,290,0.00476741895545274,101,False,290,0.005301687278551981,101,False,290,0.005301687278551981
all,Thailand's capital city is,Bangkok,507,1,True,117,0.00261686111043673,5,False,220,0.01076498317415826,1,True,119,0.002533375346683897,1,True,119,0.002533375346683897,1,True,120,0.002533375346683897
all,Mount Kilimanjaro is in,Tanzania,357,2,False,364,0.005129143159138039,13,False,352,0.0025474710331764073,2,False,364,0.005129143159138039,2,False,364,0.00512721182894893,2,False,364,0.00512721182894893
all,The capital city of People's Republic of Poland is,Warsaw,368,1,True,238,0.00905660934804473,15,False,324,0.011716141272336245,1,True,339,0.01006498368224129,1,True,346,0.01006588846212253,1,True,346,0.01006588846212253
