Mode,Prompt,Target,Baseline rank,strict: final rank,strict: reached #1,strict: features at best,strict: collateral KL,off: final rank,off: reached #1,off: features at best,off: collateral KL,tol5_after: final rank,tol5_after: reached #1,tol5_after: features at best,tol5_after: collateral KL,graded5_after: final rank,graded5_after: reached #1,graded5_after: features at best,graded5_after: collateral KL,graded5_inter: final rank,graded5_inter: reached #1,graded5_inter: features at best,graded5_inter: collateral KL
all,"This is Sophia, she is a",woman,6,1,True,68,0.0021886333503061905,1,True,158,0.009776849253103136,1,True,68,0.0021886333503061905,1,True,68,0.0021886333503061905,1,True,68,0.0021886333503061905
last,"This is Sophia, she is a",woman,6,2,False,60,0.0018137404636945575,2,False,60,0.002443863093503751,2,False,60,0.0018137404636945575,2,False,60,0.0018137404636945575,2,False,60,0.0018137404636945575
all,The doctor said that,she,3,2,False,106,0.006876332842512056,3,False,2,7.345843267216878e-05,2,False,92,0.005788246588781476,2,False,92,0.005788246588781476,2,False,102,0.006289543869206682
last,The doctor said that,she,3,3,False,29,0.0036979486452764832,3,False,40,0.0019577249186113477,3,False,29,0.0036979486452764832,3,False,29,0.0036979486452764832,3,False,29,0.0036979486452764832
all,Mount Everest is located in,Nepal,3,1,True,24,0.000328005755727645,1,True,32,0.00042454353824723513,1,True,24,0.000328005755727645,1,True,24,0.000328005755727645,1,True,24,0.000328005755727645
last,Mount Everest is located in,Nepal,3,2,False,63,0.0021486461540916935,2,False,62,0.0014491505309706554,2,False,60,0.0021727947663748638,2,False,60,0.0021727947663748638,2,False,62,0.0021727947663748638
all,Albert Einstein was born in,Germany,8,1,True,32,0.0006373255542712286,3,False,112,0.007367233370314352,1,True,32,0.0006373255542712286,1,True,32,0.0006373255542712286,1,True,32,0.0006373255542712286
last,Albert Einstein was born in,Germany,8,3,False,50,0.0011744126677513123,3,False,48,0.0011005473177647218,3,False,50,0.0011744126677513123,3,False,50,0.0011744126677513123,3,False,50,0.0011744126677513123
all,Ferrari is a car company from,Italy,3,1,True,2,0.0,1,True,2,0.0,1,True,2,0.0,1,True,2,0.0,1,True,2,0.0
last,Ferrari is a car company from,Italy,3,1,True,28,0.00011470422728052654,2,False,54,0.0008210881234845147,1,True,28,0.00011470422728052654,1,True,28,0.00011470422728052654,1,True,28,0.00011470422728052654
all,Diwali is celebrated in,India,3,1,True,2,4.679928679252043e-07,1,True,4,8.320733104483225e-06,1,True,2,4.679928679252043e-07,1,True,2,4.679928679252043e-07,1,True,2,4.679928679252043e-07
last,Diwali is celebrated in,India,3,1,True,2,4.679928679252043e-07,1,True,2,4.679928679252043e-07,1,True,2,4.679928679252043e-07,1,True,2,4.679928679252043e-07,1,True,2,4.679928679252043e-07
