Mode,Prompt,Target,Baseline rank,strict: final rank,strict: reached #1,strict: features at best,strict: collateral KL,off: final rank,off: reached #1,off: features at best,off: collateral KL,tol5_after: final rank,tol5_after: reached #1,tol5_after: features at best,tol5_after: collateral KL,graded5_after: final rank,graded5_after: reached #1,graded5_after: features at best,graded5_after: collateral KL,graded5_inter: final rank,graded5_inter: reached #1,graded5_inter: features at best,graded5_inter: collateral KL
last,"This is Sophia, she is a",woman,6,2,False,60,0.0018137404636945575,2,False,60,0.002443863093503751,2,False,60,0.0018137404636945575,2,False,60,0.0018137404636945575,2,False,60,0.0018137404636945575
last,Seiyu Group's headquarters are in,Tokyo,2,1,True,2,0.0,1,True,2,0.0,1,True,2,0.0,1,True,2,0.0,1,True,2,0.0
last,The Eiffel Tower is in the city of,Paris,2,2,False,36,0.0012314321997109801,1,True,2,-5.937181413173675e-10,2,False,36,0.0012314321997109801,2,False,36,0.0012314321997109801,2,False,36,0.0012314321997109801
last,Marie Curie won the Nobel Prize in,Physics,5,1,True,12,7.761644224046903e-06,2,False,66,0.00034326049171795603,1,True,12,7.761644224046903e-06,1,True,12,7.761644224046903e-06,1,True,18,5.6673205381230216e-05
last,The Colosseum is located in,Rome,7,3,False,52,0.0016217088079429232,3,False,50,0.0015032169612823054,3,False,52,0.0016217088079429232,3,False,52,0.0016217088079429232,3,False,52,0.0016217088079429232
last,Barack Obama was born in,Hawaii,3,1,True,2,1.5333026840380626e-05,1,True,2,1.5333026840380626e-05,1,True,2,1.5333026840380626e-05,1,True,2,1.5333026840380626e-05,1,True,2,1.5333026840380626e-05
last,She opened the door and saw a,cat,152,62,False,53,0.007295365288155153,74,False,47,0.00221851025999058,62,False,53,0.0074996993236709384,62,False,53,0.007359203285886906,62,False,53,0.007359203285886906
last,The programming language created by Guido van Rossum is,Python,44,4,False,70,0.0036058157536899673,5,False,62,0.0022774120327085255,4,False,70,0.0036058157536899673,4,False,70,0.0036058157536899673,4,False,70,0.0036058157536899673
last,The doctor said that,she,3,3,False,29,0.0036979486452764832,3,False,40,0.0019577249186113477,3,False,29,0.0036979486452764832,3,False,29,0.0036979486452764832,3,False,29,0.0036979486452764832
last,Mount Everest is located in,Nepal,3,2,False,63,0.0021486461540916935,2,False,62,0.0014491505309706554,2,False,60,0.0021727947663748638,2,False,60,0.0021727947663748638,2,False,62,0.0021727947663748638
last,The CEO of Tesla is,Elon,335,1,True,47,0.001423023706593085,19,False,44,0.0018265463659190573,1,True,47,0.001423023706593085,1,True,48,0.001423023706593085,1,True,48,0.001423023706593085
last,Albert Einstein was born in,Germany,8,3,False,50,0.0011744126677513123,3,False,48,0.0011005473177647218,3,False,50,0.0011744126677513123,3,False,50,0.0011744126677513123,3,False,50,0.0011744126677513123
last,The largest planet in our solar system is,Jupiter,30,2,False,70,0.002716764136857819,5,False,70,0.0026819319813512267,2,False,70,0.0027553515319596045,2,False,70,0.0027580688110901974,2,False,70,0.0027580688110901974
last,Eavan Boland was born in,Dublin,4,1,True,12,9.286759727729077e-05,1,True,20,0.0008622697365353815,1,True,12,9.286759727729077e-05,1,True,12,9.286759727729077e-05,1,True,12,9.286759727729077e-05
last,The location of Massachusetts Institute of Technology is in,Cambridge,8,3,False,30,0.0008699794096173718,3,False,30,0.000820291273703333,3,False,30,0.0008699794096173718,3,False,30,0.0008699794096173718,3,False,30,0.0008113370364299044
